State,Year,Acres (Rx),Acres (WFU),Acres (Wildland),Fires (Rx),Fires (WFU),Fires (Wildland)
Alabama,2006,869097,0,55901,14766,0,3282
Alaska,2006,12039,317,266266,8,3,308
Arizona,2006,75325,20886,177427,1576,33,3274
Arkansas,2006,112607,3739,75506,148,1,2700
California,2006,67678,23717,678919,622,60,8202
Colorado,2006,36661,0,94483,192,11,2023
Connecticut,2006,56,0,419,6,0,322
Delaware,2006,94,0,126,7,0,30
Florida,2006,264541,97,199993,376,4,4292
Georgia,2006,77078,0,40202,112,0,8352
Hawaii,2006,0,0,9863,0,0,4
Idaho,2006,63459,39358,933548,528,110,1831
Illinois,2006,4727,0,1040,37,0,26
Indiana,2006,20077,0,3468,406,0,747
Iowa,2006,10433,0,827,131,0,15
Kansas,2006,21162,0,85746,60,0,147
Kentucky,2006,24194,0,60534,37,0,1955
Louisiana,2006,117679,0,42712,138,0,2256
Maine,2006,226,0,1794,23,0,614
Maryland,2006,4485,0,6396,49,0,770
Massachusetts,2006,218,0,2821,6,0,2134
Michigan,2006,7174,0,8128,131,0,500
Minnesota,2006,79172,1697,66540,608,3,2438
Mississippi,2006,92147,0,178973,115,0,7427
Missouri,2006,21139,0,24308,82,0,256
Montana,2006,45059,15277,1047323,480,44,2311
Nebraska,2006,8691,0,7164,63,0,64
Nevada,2006,6685,3349,1349023,34,13,1279
New Hampshire,2006,222,0,472,25,0,495
New Jersey,2006,17275,0,2514,151,0,1599
New Mexico,2006,67796,15356,607802,108,19,2636
New York,2006,1748,0,2508,38,0,249
North Carolina,2006,101432,0,24995,238,0,5540
North Dakota,2006,31005,0,90794,164,0,1383
Ohio,2006,1779,0,3866,14,0,747
Oklahoma,2006,335,0,324011,4,0,3320
Oregon,2006,112949,3000,545870,1337,4,3251
Pennsylvania,2006,112,0,6822,2,0,563
Rhode Island,2006,36,0,120,3,0,106
South Carolina,2006,89710,0,14682,188,0,2795
South Dakota,2006,16508,0,237807,150,0,2342
Tennessee,2006,2088,0,36479,6,0,2417
Texas,2006,138167,0,1564170,159,0,3062
Utah,2006,20536,6338,340572,72,35,1844
Vermont,2006,53,0,232,4,0,125
Virginia,2006,8975,0,19989,30,0,1315
Washington,2006,25689,9288,410060,200,4,1579
West Virginia,2006,189,0,15480,8,0,1038
Wisconsin,2006,30239,0,2287,738,0,1702
Wyoming,2006,11799,22637,202301,49,15,712
