State,Year,Acres (Rx),Acres (Wildland),Fires (Rx),Fires (Wildland)
Alabama,2013,113070,25623,132,1284
Alaska,2013,5177,1316876,16,603
Arizona,2013,49491,105281,134,1756
Arkansas,2013,179216,14733,198,881
California,2013,48544,577675,542,9907
Colorado,2013,16321,195145,192,1176
Connecticut,2013,37,238,4,76
Delaware,2013,200,17,20,4
Florida,2013,339368,7660,430,101
Georgia,2013,131514,6736,206,2942
Hawaii,2013,0,0,0,0
Idaho,2013,28894,722204,312,1471
Illinois,2013,16517,55,178,24
Indiana,2013,4229,806,36,19
Iowa,2013,18448,14704,258,436
Kansas,2013,1314,7137,11,16
Kentucky,2013,15359,25084,30,1030
Louisiana,2013,15262,17883,21,1027
Maine,2013,303,743,23,426
Maryland,2013,2607,182,68,126
Massachusetts,2013,630,879,45,1132
Michigan,2013,6697,940,88,436
Minnesota,2013,48837,22107,333,1115
Mississippi,2013,18545,33,25,5
Missouri,2013,5587,1660,12,51
Montana,2013,35221,124209,434,1723
Nebraska,2013,6242,63,13,10
Nevada,2013,1665,162907,30,763
New Hampshire,2013,158,137,18,85
New Jersey,2013,0,1430,0,1013
New Mexico,2013,16474,221951,45,1064
New York,2013,898,1073,40,138
North Carolina,2013,146229,24547,1355,3514
North Dakota,2013,5176,16116,34,515
Ohio,2013,1789,152,3,31
Oklahoma,2013,3774,26490,18,610
Oregon,2013,74684,350786,483,2848
Pennsylvania,2013,7639,1788,119,639
Rhode Island,2013,0,27,0,7
South Carolina,2013,390504,7082,11878,1337
South Dakota,2013,27263,4475,98,889
Tennessee,2013,22323,7080,21,424
Texas,2013,118951,10743,96,70
Utah,2013,14029,70282,111,1276
Vermont,2013,521,281,34,124
Virginia,2013,22409,4418,20,482
Washington,2013,13145,152603,152,1527
West Virginia,2013,811,8577,1,557
Wisconsin,2013,18499,9196,393,671
Wyoming,2013,5469,44016,54,468
