Year,State,Fires (Wildland),Acres (Wildland),Fires (Rx),Acres (Rx),Fires (WFU),Acres (WFU),Fires (Human),Acres (Human),Fires (Lightning),Acres (Lightning),Fires (Total),Acres (Total)
2002,Alabama,3080,41197,23050,982482,0,0,,,,,,
2002,Alaska,543,2176665,0,0,0,0,,,,,,
2002,Arizona,"3,041","700,101","1,195","95,357",1,12,,,,,,
2002,Arkansas,"1,380","15,334",219,"136,039",0,0,,,,,,
2002,California,"8,328","506,696",667,"88,362",281,"4,138",,,,,,
2002,Colorado,"3,067","926,502",73,"10,739",18,"23,212",,,,,,
2002,Connecticut,131,"1,843",13,106,0,0,,,,,,
2002,Delaware,30,"1,659",0,0,0,0,,,,,,
2002,Florida,"2,512","50,328",341,"293,201",8,406,,,,,,
2002,Georgia,"7,185","160,041",50,"43,800",0,0,,,,,,
2002,Hawaii,1,"3,660",0,0,0,0,,,,,,
2002,Idaho,"1,486","84,964",445,"46,273",35,"7,688",,,,,,
2002,Illinois,31,96,20,683,0,0,,,,,,
2002,Indiana,581,"1,691",62,"15,544",0,0,,,,,,
2002,Iowa,5,"1,045",17,"2,617",0,0,,,,,,
2002,Kansas,25,"2,672",50,"5,365",0,0,,,,,,
2002,Kentucky,"1,074","26,342",18,"6,990",0,0,,,,,,
2002,Louisiana,"1,139","25,942",176,"144,599",0,0,,,,,,
2002,Maine,662,784,37,244,0,0,,,,,,
2002,Maryland,726,4825,24,905,0,0,,,,,,
2002,Massachusetts,"3,018","2,611",2,2,0,0,,,,,,
2002,Michigan,277,966,27,1753,0,0,,,,,,
2002,Minnesota,2018,62947,605,106326,0,0,,,,,,
2002,Mississippi,1007,16651,208,195924,0,0,,,,,,
2002,Missouri,120,4186,65,14010,0,0,,,,,,
2002,Montana,1415,111821,373,24064,26,1190,,,,,,
2002,Nebraska,45,427,51,8434,0,0,,,,,,
2002,Nevada,777,77927,64,16033,12,8528,,,,,,
2002,New Hampshire,424,168,15,152,0,0,,,,,,
2002,New Jersey,1760,6053,119,7286,0,0,,,,,,
2002,New Mexico,2097,419533,98,32797,10,10940,,,,,,
2002,New York,336,2044,21,367,0,0,,,,,,
2002,North Carolina,5611,34967,92,38869,0,0,,,,,,
2002,North Dakota,811,58686,166,25961,0,0,,,,,,
2002,Ohio,578,3969,6,259,0,0,,,,,,
2002,Oklahoma,1305,36727,36,4471,0,0,,,,,,
2002,Oregon,2648,1010952,513,98559,2,1,,,,,,
2002,Pennsylvania,531,1965,3,248,0,0,,,,,,
2002,Rhode Island,128,213,0,0,0,0,,,,,,
2002,South Carolina,3570,30945,131,51895,0,0,,,,,,
2002,South Dakota,639,30679,55,10097,0,0,,,,,,
2002,Tennessee,1469,14993,16,8468,0,0,,,,,,
2002,Texas,1183,35044,114,86412,0,0,,,,,,
2002,Utah,1243,237427,71,34792,2,345,,,,,,
2002,Vermont,128,214,6,175,0,0,,,,,,
2002,Virginia,1729,23344,152,10942,0,0,,,,,,
2002,Washington,1285,92742,253,17155,4,11,,,,,,
2002,West Virginia,815,8681,3,90,0,0,,,,,,
2002,Wisconsin,962,2273,23,4966,0,0,,,,,,
2002,Wyoming,524,124823,43,10993,9,5792,,,,,,
2003,Alabama,1249,12260,15953,767732,0,0,,,,,,
2003,Alaska,451,559332,6,1555,1,42800,,,,,,
2003,Arizona,2868,193475,446,119285,18,4209,,,,,,
2003,Arkansas,1751,25446,275,198568,0,0,,,,,,
2003,California,"9,116","793,402",738,"67,782",126,"41,069",,,,,,
2003,Colorado,"2,027","27,655",122,"22,238",31,"3,519",,,,,,
2003,Connecticut,97,138,8,96,0,0,,,,,,
2003,Delaware,4,22,1,20,0,0,,,,,,
2003,Florida,"2,118","34,366",437,"412,479",10,"2,715",,,,,,
2003,Georgia,"3,392","9,794",99,"80,013",0,0,,,,,,
2003,Hawaii,2,"6,465",2,245,0,0,,,,,,
2003,Idaho,"1,845","312,932",535,"50,057",64,"26,719",,,,,,
2003,Illinois,16,"1,346",22,952,0,0,,,,,,
2003,Indiana,630,"4,344",25,"8,743",0,0,,,,,,
2003,Iowa,34,"3,417",6,457,0,0,,,,,,
2003,Kansas,"3,205","52,864",91,"22,262",0,0,,,,,,
2003,Kentucky,956,"20,931",53,"7,033",0,0,,,,,,
2003,Louisiana,773,"18,147",201,"142,538",0,0,,,,,,
2003,Maine,625,870,20,155,0,0,,,,,,
2003,Maryland,126,"1,140",22,661,0,0,,,,,,
2003,Massachusetts,"1,749","1,530",24,631,0,0,,,,,,
2003,Michigan,719,"7,002",170,"8,411",0,0,,,,,,
2003,Minnesota,"3,376","144,420",549,"128,795",0,0,,,,,,
2003,Mississippi,257,"4,803",288,"246,322",0,0,,,,,,
2003,Missouri,"2,537","49,855",6,"2,659",0,0,,,,,,
2003,Montana,"2,326","735,619",318,"26,743",41,"42,051",,,,,,
2003,Nebraska,320,"3,667",30,"3,844",0,0,,,,,,
2003,Nevada,797,"17,582",13,"5,744",6,2,,,,,,
2003,New Hampshire,320,99,21,138,0,0,,,,,,
2003,New Jersey,729,"1,460",51,"6,395",0,0,,,,,,
2003,New Mexico,"1,591","82,528",107,"56,775",11,"158,954",,,,,,
2003,New York,115,704,9,152,0,0,,,,,,
2003,North Carolina,"1,930","8,636",111,"42,803",0,0,,,,,,
2003,North Dakota,743,"40,498",124,"20,313",0,0,,,,,,
2003,Ohio,516,"3,889",53,"4,779",0,0,,,,,,
